first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jhon,Durán,0,0,11,126,4,13.4,12.8,51.0,0,15,7.4,0,0,1,0.0,55,FW
Sil,Swinkels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DF
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Sebastian,Revan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DF
Travis,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MF
Tommi,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MF
Adam,Smith,0,1,74,2940,58,261.6,406.2,88.0,5,400,75.7,7,0,11,0.2,43,DF
Junior,Stanislas,0,0,4,58,1,22.9,10.0,7.0,0,13,3.9,0,0,0,0.0,48,MF
Ryan,Fredericks,0,0,12,527,11,26.7,66.0,12.0,0,63,10.6,0,0,1,0.0,44,DF
David,Brooks,0,0,5,170,4,16.4,13.6,31.0,0,7,6.0,0,0,1,0.0,53,MF
Jamal,Lowe,0,0,2,11,0,0.3,0.2,0.0,0,6,0.1,0,0,0,0.0,52,MF
Kieffer,Moore,4,0,57,1269,34,89.6,216.2,272.0,3,161,57.3,3,0,1,0.7,49,FW
Emiliano,Marcondes,0,0,1,8,1,0.0,1.2,0.0,0,3,0.1,0,0,0,0.0,47,MF
Jefferson,Lerma Solís,5,0,101,3252,67,293.6,616.6,311.0,5,500,122.1,7,0,7,0.5,47,MF
Jack,Stacey,0,0,6,293,10,8.6,44.2,8.0,0,36,6.0,0,0,2,0.0,42,DF
