Ellis Simms,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.0,Simms
Youssef Ramalho Chermiti,46,0,0,0,2,0,0,0,1,0,0,0,0.29,0.03,0.32,1.47,6,49,-1,0.1,Y. Chermiti
Thomas Cannon,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.28,1,45,0,0.0,Cannon
Norberto Bercique Gomes Betuncal,378,0,0,2,5,0,0,0,0,0,0,4,1.69,0.11,1.80,4.72,13,57,-3,0.1,Beto
Aleksandar Mitrović,32,0,0,0,0,0,0,0,0,0,0,0,0.16,0.02,0.18,0.60,1,74,-1,0.7,Mitrović
Rodrigo Muniz Carvalho,132,0,0,1,2,0,0,0,1,0,0,1,0.35,0.04,0.39,2.52,5,44,-1,0.5,Muniz
Carlos Vinícius Alves Morais,242,1,0,0,3,0,0,0,2,0,0,2,0.67,0.06,0.73,3.88,13,47,-3,1.6,Vinícius
Raúl Jiménez,754,1,0,2,18,0,0,0,2,0,0,10,1.88,0.40,2.28,17.05,23,52,-3,0.6,Raúl
Jay Stansfield,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.0,Stansfield
Darwin Núñez Ribeiro,680,4,6,3,5,0,0,0,2,0,0,7,5.58,0.99,6.57,8.72,55,77,2,19.7,Darwin
Cody Gakpo,473,2,0,1,6,0,0,0,0,0,0,6,2.67,0.25,2.92,6.96,25,72,-3,2.3,Gakpo
Elijah Adebayo,423,2,0,0,10,0,0,0,1,0,0,4,1.27,0.21,1.48,10.02,27,48,-2,0.6,Adebayo
John McAtee,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.6,McAtee
Carlton Morris,1143,3,2,2,23,0,0,0,1,0,0,14,3.97,0.63,4.60,26.59,52,53,-2,3.3,Morris
Admiral Muskwe,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Muskwe
Chiedozie Ogbene,908,1,1,1,17,0,0,0,0,0,0,10,0.90,1.78,2.68,22.13,32,49,-1,0.2,Ogbene
Aribim Pepple,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Pepple
Joe Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Taylor
Cauley Woodrow,74,0,0,0,2,0,0,0,0,0,0,0,0.61,0.44,1.05,1.60,7,44,-1,0.9,Woodrow
Jacob Brown,627,2,1,0,17,0,0,0,2,0,0,7,2.44,0.33,2.77,19.62,31,49,-1,0.2,Brown
Julián Álvarez,1076,4,6,5,10,0,0,0,2,0,0,13,3.67,2.65,6.32,9.63,68,70,5,29.7,J.Alvarez
Erling Haaland,1114,14,3,4,12,0,0,1,0,0,0,13,13.35,0.95,14.30,11.08,103,140,0,83.8,Haaland
Anthony Martial,384,1,1,1,5,0,0,0,0,0,0,4,1.20,0.12,1.32,7.92,24,64,-1,0.4,Martial
Shola Shoretire,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,44,-1,0.3,Shoretire
Rasmus Højlund,675,0,0,3,9,0,0,0,0,0,0,8,2.65,0.32,2.97,10.70,18,70,0,3.5,Højlund
Joe Hugill,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.0,Hugill
Alexander Isak,661,7,0,3,7,0,0,0,0,0,0,8,6.42,0.80,7.22,7.79,54,75,0,14.9,Isak
Callum Wilson,479,7,0,4,7,0,0,0,1,0,0,5,6.06,0.11,6.17,4.67,46,78,-2,3.7,Wilson
Ben Parkinson,24,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0.00,1.76,1,45,0,0.0,Parkinson
Michael Ndiweni,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,45,0,0.0,Ndiweni
Taiwo Awoniyi,664,4,2,2,11,0,0,0,1,0,0,8,3.72,0.40,4.12,10.03,42,64,-1,1.6,Awoniyi
Emmanuel Dennis,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,48,-2,0.2,Dennis
Sam Surridge,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Surridge
Hwang Ui-jo,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,44,-1,0.4,Ui-jo
Chris Wood,398,3,0,1,7,0,0,0,0,0,0,4,2.41,0.16,2.57,7.44,33,49,-1,0.8,Wood
Divock Origi,94,0,0,0,0,0,0,0,1,0,0,0,0.14,0.16,0.30,1.93,6,50,0,0.1,Origi
Cameron Archer,851,2,1,0,27,0,0,0,2,0,0,10,0.71,0.36,1.07,20.48,36,46,1,10.4,Archer
Rhian Brewster,163,0,0,0,5,0,0,0,0,0,0,2,0.03,0.05,0.08,3.67,5,49,-1,0.0,Brewster
Daniel Jebbison,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,48,-2,0.0,Jebbison
Oliver McBurnie,520,2,1,0,17,0,0,0,1,2,0,6,2.38,0.81,3.18,14.49,17,54,-1,0.1,McBurnie
Iliman Ndiaye,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,55,0,0.0,Ndiaye
William Osula,288,0,0,0,6,0,0,0,3,0,0,3,0.64,0.08,0.72,7.32,6,43,-2,1.4,Osula
Bénie Traoré,368,0,0,0,12,0,0,0,0,0,0,3,0.27,0.46,0.73,10.67,10,52,-3,0.0,T.Bénie
Louie Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.0,Marsh
Antwoine Hackford,11,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.12,2,45,0,0.1,Hackford
Harry Kane,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,125,0,0.6,Kane
Dane Scarlett,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Scarlett
Alejo Véliz,14,0,0,0,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.90,3,54,-1,0.1,Veliz
Jamie Donley,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.0,Donley
Michail Antonio,812,2,2,4,13,0,0,0,2,0,0,11,1.74,1.17,2.91,16.52,38,57,-3,2.4,Antonio
Danny Ings,129,0,0,0,5,0,0,0,1,0,0,1,0.12,0.01,0.13,3.82,9,56,-4,0.7,Ings
Divin Mubama,28,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.12,1,43,-2,6.7,Mubama
Gianluca Scamacca,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,60,0,0.0,Scamacca
Fábio Silva,259,0,0,1,8,0,0,0,2,0,0,3,1.12,0.09,1.21,7.20,8,53,-2,0.2,Fábio Silva
Sasa Kalajdzic,157,2,0,1,2,0,0,0,0,0,0,1,1.01,0.26,1.27,2.57,23,49,-1,0.2,Kalajdžić
Matheus Santos Carneiro Da Cunha,1153,4,2,1,22,0,0,0,2,0,0,14,3.68,1.40,5.08,21.41,51,55,0,1.6,Cunha
Nathan Fraser,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,45,0,0.1,Fraser
Cédric Alves Soares,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,39,-1,0.4,Cédric
Gabriel dos Santos Magalhães,924,0,0,4,8,0,0,0,1,0,0,10,0.75,0.14,0.89,9.32,37,49,-1,15.8,Gabriel
Jakub Kiwior,183,0,0,1,2,0,0,0,0,0,0,2,0.32,0.05,0.37,0.87,10,43,-2,0.1,Kiwior
